Fundo,Último Data-Base,Último Pagamento,Último Dividendo (R$),Anterior Data-Base,Anterior Pagamento,Anterior Dividendo (R$),Link Relatório
ALZR11,18/07/2025,25/07/2025,"0,0937",,,,
BRCO11,31/07/2025,14/08/2025,"0,87",30/06/2025,14/07/2025,"1,05","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957571&flnk"
BTAL11,17/07/2025,24/07/2025,"0,9",,,,
BTHF11,,,,,,,
BTLG11,15/07/2025,25/07/2025,"0,7801",,,,
CPTS11,07/10/2025,17/07/2025,"0,088",,,,
FATN11,07/04/2025,14/07/2025,"0,8",,,,
GGRC11,07/01/2025,07/08/2025,"0,105",,,,
HGBS11,31/07/2025,14/08/2025,"0,15",,,,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957477&flnk"
HGCR11,31/07/2025,14/08/2025,"1,05",30/06/2025,14/07/2025,"1,05","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957657&flnk"
HGFF11,31/07/2025,14/08/2025,"0,68",30/06/2025,14/07/2025,"0,68","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957655&flnk"
HGLG11,31/07/2025,14/08/2025,"1,1",30/06/2025,14/07/2025,"1,1","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957656&flnk"
HGRE11,31/07/2025,14/08/2025,"0,85",30/06/2025,14/07/2025,"2,55","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957654&flnk"
HGRU11,31/07/2025,14/08/2025,"0,95",30/06/2025,14/07/2025,"1,55","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957658&flnk"
HSML11,31/07/2025,07/08/2025,"0,66",30/06/2025,07/07/2025,"0,65","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957506&flnk"
IRDM11,07/09/2025,16/07/2025,"0,84",,,,
JSRE11,31/07/2025,14/08/2025,"0,48",30/06/2025,14/07/2025,"0,48","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957585&flnk"
KFOF11,31/07/2025,14/08/2025,"0,75",30/06/2025,14/07/2025,"0,75","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957493&flnk"
KNCR11,31/07/2025,13/08/2025,"1,35",30/06/2025,07/11/2025,"1,2","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957494&flnk"
KNHF11,31/07/2025,12/08/2025,1,30/06/2025,07/10/2025,"1,0","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957495&flnk"
KNHY11,31/07/2025,13/08/2025,"1,3",30/06/2025,07/11/2025,"1,3","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957496&flnk"
KNIP11,31/07/2025,13/08/2025,"0,8",30/06/2025,07/11/2025,"0,8","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957497&flnk"
KNRE11,,,,,,,
KNRI11,31/07/2025,14/08/2025,1,30/06/2025,14/07/2025,"1,0","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957498&flnk"
KNSC11,31/07/2025,13/08/2025,"0,1",30/06/2025,14/07/2025,"0,09","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957499&flnk"
KNUQ11,31/07/2025,12/08/2025,"1,5",30/06/2025,07/10/2025,"1,4","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957500&flnk"
KORE11,31/07/2025,14/08/2025,"1,25",30/06/2025,14/07/2025,"1,25","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957501&flnk"
LVBI11,31/07/2025,07/08/2025,"0,75",30/06/2025,07/07/2025,"0,75","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957443&flnk"
MCCI11,07/10/2025,17/07/2025,"0,9",,,,
MCRE11,,,,,,,
MXRF11,31/07/2025,14/08/2025,"0,1",30/06/2025,14/07/2025,"0,1","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957452&flnk"
PVBI11,31/07/2025,07/08/2025,"0,5",30/06/2025,07/07/2025,"0,5","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957442&flnk"
RBRF11,07/09/2025,16/07/2025,"0,061",,,,
RBRR11,07/09/2025,16/07/2025,"1,0",,,,
RBRY11,07/09/2025,16/07/2025,"1,15",,,,
RBVA11,31/07/2025,15/08/2025,"0,09",30/06/2025,15/07/2025,"0,09","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957540&flnk"
RECR11,07/07/2025,14/07/2025,"1,0141",,,,
RZTR11,31/07/2025,07/08/2025,1,30/06/2025,07/07/2025,"1,05","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957633&flnk"
TGAR11,31/07/2025,14/08/2025,1,30/06/2025,14/07/2025,"1,0","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957538&flnk"
TRXF11,31/07/2025,14/08/2025,"0,93",30/06/2025,14/07/2025,"1,51","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957030&flnk"
TVRI11,31/07/2025,14/08/2025,"1,05",30/06/2025,14/07/2025,"1,03","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957541&flnk"
VCJR11,31/07/2025,13/08/2025,"0,95",30/06/2025,07/11/2025,"0,95","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957504&flnk"
VGHF11,31/07/2025,07/08/2025,"0,09",,,,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957463&flnk"
VGIR11,07/10/2025,17/07/2025,"0,12",,,,
VILG11,31/07/2025,14/08/2025,"0,72",30/06/2025,14/07/2025,"0,7","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957192&flnk"
VINO11,31/07/2025,14/08/2025,"0,05",30/06/2025,14/07/2025,"0,085","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957196&flnk"
VISC11,31/07/2025,14/08/2025,"0,81",30/06/2025,14/07/2025,"0,81","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957188&flnk"
VIUR11,31/07/2025,14/08/2025,"0,067",30/06/2025,14/07/2025,"0,067","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957201&flnk"
XPCI11,31/07/2025,14/08/2025,"0,96",30/06/2025,14/07/2025,"1,0","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957582&flnk"
XPLG11,31/07/2025,14/08/2025,"0,82",30/06/2025,14/07/2025,"0,82","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957534&flnk"
XPML11,18/07/2025,25/07/2025,"0,92",,,,
